"ISO3","Year","City","Longitude","Latitude","PM25","urban"
1,2018,"Whitehorse",-135.0588,60.71972,3.0,0
1,2019,"Houston",-126.6468,54.39859,11.0,0
1,2019,"Fort Mackay",-111.6424,57.1492,7.0,0
1,2019,"Fort Mackay",-111.6405,57.18941,8.0,0
1,2019,"Mallaig",-111.5026,54.2165,5.0,1
1,2019,"Fort McMurray",-111.4766,56.75139,7.0,0
1,2019,"Fort McMurray",-111.3905,56.73341,6.0,1
1,2019,"Fort Chipewyan",-111.1768,58.70879,5.0,0
1,2019,"Fort Mackay",-111.037,57.26176,5.0,0
1,2019,"Medicine Hat",-110.6812,50.04893,5.0,0
1,2019,"Cold Lake",-110.2329,54.41401,4.0,0
1,2019,"Saskatoon",-106.6629,52.13613,8.0,0
1,2019,"Regina",-104.616,50.4527,4.0,0
1,2019,"Flin Flon",-101.8775,54.76852,3.0,0
1,2019,"Brandon",-99.9206,49.83918,5.0,1
1,2019,"Thompson",-97.87353,55.74719,3.0,0
1,2019,"Burns Lake",-125.7644,54.23073,9.0,0
1,2019,"Winnipeg",-97.14653,49.89799,6.0,0
1,2019,"Winnipeg",-97.11317,49.93207,5.0,0
1,2019,"Thunder Bay",-89.29017,48.37939,5.0,0
1,2019,"Sault Ste. Marie",-84.30992,46.53319,5.0,0
1,2019,"Windsor",-83.07314,42.29289,9.0,0
1,2019,"Windsor",-83.04367,42.31578,8.0,0
1,2019,"Sarnia",-82.39534,42.99026,7.0,0
1,2019,"Chatham",-82.20831,42.40369,7.0,0
1,2019,"Campbell River",-125.2484,50.01843,6.0,0
1,2019,"Tiverton",-81.54972,44.31447,5.0,0
1,2019,"London",-81.20086,42.97446,7.0,0
1,2019,"Union",-81.16289,42.67208,7.0,0
1,2019,"Greater Sudbury",-81.00311,46.49194,5.0,0
1,2019,"Kitchener",-80.50381,43.44383,7.0,0
1,2019,"Brantford",-80.29264,43.13861,7.0,0
1,2019,"Courtenay",-124.9962,49.6826,8.0,0
1,2019,"Simcoe",-80.26964,42.85685,6.0,1
1,2019,"Guelph",-80.26416,43.55164,7.0,0
1,2019,"Parry Sound",-80.03817,45.33786,4.0,1
1,2019,"Hamilton",-79.90775,43.25744,8.0,0
1,2018,"Hamilton",-79.86278,43.22942,8.0,0
1,2019,"Hamilton",-79.86167,43.25778,9.0,0
1,2019,"Port Alberni",-124.8066,49.26101,9.0,0
1,2016,"Brampton",-79.78092,43.69875,7.0,0
1,2019,"Oakville",-79.70228,43.48692,7.0,0
1,2019,"Mississauga",-79.65869,43.54697,7.0,0
1,2019,"Toronto",-79.5435,43.70944,7.0,0
1,2019,"Toronto",-79.52194,43.61076,8.0,1
1,2019,"Newmarket",-79.48325,44.04431,6.0,0
1,2019,"Powell River",-124.5624,49.8893,2.0,0
1,2019,"North Bay",-79.44928,46.32323,4.0,0
1,2016,"Toronto",-79.41773,43.78158,7.0,0
1,2018,"Toronto",-79.38722,43.66417,8.0,0
1,2019,"Toronto",-79.27406,43.74792,7.0,1
1,2019,"St. Catharines",-79.23475,43.16006,7.0,0
1,2019,"Rouyn-Noranda",-78.98278,48.23409,6.0,0
1,2017,"Powell River",-124.5581,49.88689,4.0,0
1,2019,"Baysville",-78.93294,45.22428,4.0,0
1,2017,"Hampton",-78.89492,43.94594,6.0,0
1,2019,"Laurentian Hills",-77.44119,45.99672,4.0,0
